Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,1.040000,1.040000,1.000000,1.000000,0.993123,220
2023-10-31,1.000000,1.000000,1.000000,1.000000,0.993123,0
2023-11-01,1.000000,1.000000,1.000000,1.000000,0.993123,8900
2023-11-02,1.170000,1.170000,1.170000,1.170000,1.161954,130
2023-11-03,1.170000,1.170000,1.170000,1.170000,1.161954,0
2023-11-06,1.170000,1.170000,1.170000,1.170000,1.161954,0
2023-11-07,1.170000,1.170000,1.170000,1.170000,1.161954,0
2023-11-08,1.170000,1.170000,1.170000,1.170000,1.161954,0
2023-11-09,1.170000,1.170000,1.170000,1.170000,1.161954,0
2023-11-10,1.350000,1.350000,1.350000,1.350000,1.340716,607
2023-11-13,1.350000,1.350000,1.350000,1.350000,1.340716,0
2023-11-14,1.350000,1.350000,1.350000,1.350000,1.340716,0
2023-11-15,1.350000,1.350000,1.350000,1.350000,1.340716,0
2023-11-16,1.290000,1.900000,1.290000,1.900000,1.886934,145117
2023-11-17,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-11-20,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-11-21,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-11-22,1.672100,1.755000,1.672100,1.720000,1.708172,653
2023-11-24,1.720000,1.720000,1.720000,1.720000,1.708172,0
2023-11-27,1.605000,1.605000,1.585000,1.585000,1.574100,6183
2023-11-28,1.590000,1.590000,1.500000,1.500000,1.489685,803
2023-11-29,1.500000,1.500000,1.500000,1.500000,1.489685,0
2023-11-30,1.520000,1.550000,1.520000,1.550000,1.539341,61000
2023-12-01,1.690000,1.690000,1.660000,1.660000,1.648584,10661
2023-12-04,1.620000,1.620000,1.620000,1.620000,1.608859,291
2023-12-05,1.590000,1.670000,1.590000,1.650000,1.638653,32174
2023-12-06,1.720000,1.720000,1.680000,1.680000,1.668447,10842
2023-12-07,1.740000,1.750000,1.740000,1.750000,1.737965,20025
2023-12-08,1.750000,1.750000,1.750000,1.750000,1.737965,0
2023-12-11,1.750000,1.750000,1.750000,1.750000,1.737965,0
2023-12-12,1.750000,1.750000,1.750000,1.750000,1.737965,0
2023-12-13,1.900000,1.920000,1.900000,1.920000,1.906796,22619
2023-12-14,1.900000,1.900000,1.900000,1.900000,1.886934,14250
2023-12-15,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-12-18,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-12-19,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-12-20,1.900000,1.900000,1.900000,1.900000,1.886934,0
2023-12-21,1.630500,1.630500,1.630500,1.630500,1.619287,685
2023-12-22,1.630500,1.630500,1.630500,1.630500,1.619287,0
2023-12-26,1.630500,1.630500,1.630500,1.630500,1.619287,0
2023-12-27,1.630500,1.630500,1.630500,1.630500,1.619287,0
2023-12-28,1.630500,1.630500,1.630500,1.630500,1.619287,0
2023-12-29,1.630500,1.630500,1.630500,1.630500,1.619287,0
2024-01-02,1.630500,1.630500,1.630500,1.630500,1.619287,0
